wv_pert_1,wv_pert_2,wv_pert_3,wv_pert_4,wv_pert_5,wv_pert_6,wv_pert_7,wv_pert_8,wv_pert_9,wv_pert_10,wv_pert_11,wv_pert_12,wv_pert_13,wv_pert_14
11.205,9.515,16.34,67.725,46.77,0,20.78,69.395,14.49,12.56,9.95,10.58,21.81,15.365
12.635,10.66,16.11,63.3,48.77,28.245,19.79,48.3,12.64,12.005,11.89,12.76,19.08,17.955
14.125,12.835,15.53,58.635,42.36,32.93,18.625,32.615,16.625,17.875,11.14,12,13.725,16.3
14.24,14.72,18.14,55.57,43.655,49.435,18.1,28.31,17.8,16.34,12.81,15.28,20.28,18.815
17.82,20.505,18.53,47.81,40.44,57.33,17.585,20.505,19.345,16.345,14.175,16.105,16.325,14.575
16.925,18.82,19.645,47.1,35.775,67.26,17.095,17.325,18.235,20.1,17.98,16.335,18.275,18.73
18.5,27.265,21.06,38.25,32.585,82.835,16.32,15.795,21.785,21.465,21.93,16.565,18.795,15.59
22.38,19.795,14.745,35.175,25.69,81.93,18.055,12.345,18.14,20.195,19.49,16.865,15.52,20.5
22.83,27.01,20.185,29.845,24.8,97.635,16.395,12.225,21.925,22.525,25.025,18.67,17.17,15.275
20.62,28.19,20.49,23.08,18.57,100.49,14.42,9.895,22.37,27.86,26.475,19.265,18.75,19.09
23.08,27.805,21.265,9.27,10.345,98.3,16.435,7.68,23.825,24.895,22.04,19.575,21.73,14.84
